datetime,value
2020-01-01 0:02,-79.3
2020-01-01 0:12,-80.4
2020-01-01 0:22,-78.4
2020-01-01 0:32,-76.5
2020-01-01 0:42,-76.6
2020-01-01 0:52,-79.8
2020-01-01 1:02,-80.4
2020-01-01 1:12,-78.3
2020-01-01 1:22,-76.5
2020-01-01 1:32,-76.6
2020-01-01 1:42,-80
2020-01-01 1:52,-80.2
2020-01-01 2:02,-78
2020-01-01 2:12,-76.6
2020-01-01 2:22,-76.9
2020-01-01 2:32,-80.3
2020-01-01 2:42,-79.9
2020-01-01 2:52,-77.7
2020-01-01 3:02,-76.6
2020-01-01 3:12,-77.4
2020-01-01 3:22,-80.5
2020-01-01 3:32,-79.5
2020-01-01 3:42,-77.2
2020-01-01 3:52,-76.7
2020-01-01 4:02,-78.2
2020-01-01 4:12,-80.6
2020-01-01 4:22,-79
2020-01-01 4:32,-76.7
2020-01-01 4:42,-76.7
2020-01-01 4:52,-79
2020-01-01 5:02,-80.5
2020-01-01 5:12,-78.6
2020-01-01 5:22,-76.6
2020-01-01 5:32,-76.7
2020-01-01 5:42,-79.6
2020-01-01 5:52,-80.4
2020-01-01 6:02,-78.3
2020-01-01 6:12,-76.6
2020-01-01 6:22,-76.7
2020-01-01 6:32,-80.1
2020-01-01 6:42,-80.1
2020-01-01 6:52,-78
2020-01-01 7:02,-76.6
2020-01-01 7:12,-77.3
2020-01-01 7:22,-80.4
2020-01-01 7:32,-79.5
2020-01-01 7:42,-77.3
2020-01-01 7:52,-76.8
2020-01-01 8:02,-78
2020-01-01 8:12,-80.7
2020-01-01 8:22,-79.3
2020-01-01 8:32,-76.9
2020-01-01 8:42,-76.7
2020-01-01 8:52,-78.7
2020-01-01 9:02,-80.5
2020-01-01 9:12,-78.7
2020-01-01 9:22,-76.6
2020-01-01 9:32,-76.7
2020-01-01 9:42,-79.2
2020-01-01 9:52,-80.6
2020-01-01 10:02,-78.6
2020-01-01 10:12,-76.6
2020-01-01 10:22,-76.8
2020-01-01 10:32,-79.6
2020-01-01 10:42,-80.2
2020-01-01 10:52,-78.2
2020-01-01 11:02,-76.7
2020-01-01 11:12,-77
2020-01-01 11:22,-80.2
2020-01-01 11:32,-79.9
2020-01-01 11:42,-77.7
2020-01-01 11:52,-76.8
2020-01-01 12:02,-77.4
2020-01-01 12:12,-80.5
2020-01-01 12:22,-79.6
2020-01-01 12:32,-77.3
2020-01-01 12:42,-76.8
2020-01-01 12:52,-78.1
2020-01-01 13:02,-80.5
2020-01-01 13:12,-79.1
2020-01-01 13:22,-76.8
2020-01-01 13:32,-77
2020-01-01 13:42,-79.2
2020-01-01 13:52,-80.2
2020-01-01 14:02,-78.3
2020-01-01 14:12,-76.8
2020-01-01 14:22,-77.2
2020-01-01 14:32,-80.3
2020-01-01 14:42,-79.5
2020-01-01 14:52,-77.2
2020-01-01 15:02,-76.9
2020-01-01 15:12,-78.6
2020-01-01 15:22,-80.4
2020-01-01 15:32,-78.6
2020-01-01 15:42,-76.7
2020-01-01 15:52,-77
2020-01-01 16:02,-80.2
2020-01-01 16:12,-79.7
2020-01-01 16:22,-77.5
2020-01-01 16:32,-76.7
2020-01-01 16:42,-77.9
2020-01-01 16:52,-80.5
2020-01-01 17:02,-79.2
2020-01-01 17:12,-76.8
2020-01-01 17:22,-76.9
2020-01-01 17:32,-79.6
2020-01-01 17:42,-79.9
2020-01-01 17:52,-77.7
2020-01-01 18:02,-76.7
2020-01-01 18:12,-77.7
2020-01-01 18:22,-80.5
2020-01-01 18:32,-79.2
2020-01-01 18:42,-76.9
2020-01-01 18:52,-76.8
2020-01-01 19:02,-78.6
2020-01-01 19:12,-80.6
2020-01-01 19:22,-78.9
2020-01-01 19:32,-76.7
2020-01-01 19:42,-76.8
2020-01-01 19:52,-79.7
2020-01-01 20:02,-80.2
2020-01-01 20:12,-78
2020-01-01 20:22,-76.6
2020-01-01 20:32,-76.9
2020-01-01 20:42,-80.3
2020-01-01 20:52,-80
2020-01-01 21:02,-77.8
2020-01-01 21:12,-76.7
2020-01-01 21:22,-77.6
2020-01-01 21:32,-80.5
2020-01-01 21:42,-79.3
2020-01-01 21:52,-77
2020-01-01 22:02,-76.8
2020-01-01 22:12,-79.1
2020-01-01 22:22,-80.1
2020-01-01 22:32,-78.1
2020-01-01 22:42,-76.6
2020-01-01 22:52,-76.9
2020-01-01 23:02,-80.3
2020-01-01 23:12,-79.9
2020-01-01 23:22,-77.7
2020-01-01 23:32,-76.6
2020-01-01 23:42,-77.6
2020-01-01 23:52,-80.6
2020-01-02 0:02,-79.4
2020-01-02 0:12,-77
2020-01-02 0:22,-76.6
2020-01-02 0:32,-78.4
2020-01-02 0:42,-80.6
2020-01-02 0:52,-78.8
2020-01-02 1:02,-76.6
2020-01-02 1:12,-76.7
2020-01-02 1:22,-79.3
2020-01-02 1:32,-80.5
2020-01-02 1:42,-78.4
2020-01-02 1:52,-76.5
2020-01-02 2:02,-76.8
2020-01-02 2:12,-80.1
2020-01-02 2:22,-80.1
2020-01-02 2:32,-77.9
2020-01-02 2:42,-76.5
2020-01-02 2:52,-77.1
2020-01-02 3:02,-80.6
2020-01-02 3:12,-79.8
2020-01-02 3:22,-77.5
2020-01-02 3:32,-76.5
2020-01-02 3:42,-77
2020-01-02 3:52,-80.6
2020-01-02 4:02,-80.1
2020-01-02 4:12,-77.8
2020-01-02 4:22,-76.5
2020-01-02 4:32,-77.5
2020-01-02 4:42,-80.5
2020-01-02 4:52,-79.3
2020-01-02 5:02,-76.9
2020-01-02 5:12,-76.6
2020-01-02 5:22,-79.5
2020-01-02 5:32,-80.1
2020-01-02 5:42,-78
2020-01-02 5:52,-76.4
2020-01-02 6:02,-76.4
2020-01-02 6:12,-80
2020-01-02 6:22,-80.5
2020-01-02 6:32,-78.4
2020-01-02 6:42,-76.5
2020-01-02 6:52,-76.6
2020-01-02 7:02,-80
2020-01-02 7:12,-80.2
2020-01-02 7:22,-78
2020-01-02 7:32,-76.5
2020-01-02 7:42,-76.6
2020-01-02 7:52,-80.1
2020-01-02 8:02,-80.2
2020-01-02 8:12,-78
2020-01-02 8:22,-76.6
2020-01-02 8:32,-76.8
2020-01-02 8:42,-80.3
2020-01-02 8:52,-80
2020-01-02 9:02,-77.8
2020-01-02 9:12,-76.6
2020-01-02 9:22,-77.4
2020-01-02 9:32,-80.5
2020-01-02 9:42,-79.4
2020-01-02 9:52,-77.1
2020-01-02 10:02,-76.7
2020-01-02 10:12,-78.6
2020-01-02 10:22,-80.4
2020-01-02 10:32,-78.5
2020-01-02 10:42,-76.6
2020-01-02 10:52,-75.4
2020-01-02 11:02,-77.4
2020-01-02 11:12,-80.6
2020-01-02 11:22,-79.1
2020-01-02 11:32,-76.6
2020-01-02 11:42,-75.9
2020-01-02 11:52,-78
2020-01-02 12:02,-80.9
2020-01-02 12:12,-79.1
2020-01-02 12:22,-76.6
2020-01-02 12:32,-76
2020-01-02 12:42,-78
2020-01-02 12:52,-80.9
2020-01-02 13:02,-79.2
2020-01-02 13:12,-76.7
2020-01-02 13:22,-76.2
2020-01-02 13:32,-78
2020-01-02 13:42,-80.9
2020-01-02 13:52,-79.1
2020-01-02 14:02,-76.1
2020-01-02 14:12,-74.6
2020-01-02 14:22,-74.1
2020-01-02 14:32,-78.3
2020-01-02 14:42,-80.5
2020-01-02 14:52,-78.3
2020-01-02 15:02,-76
2020-01-02 15:12,-75.4
2020-01-02 15:22,-78.4
2020-01-02 15:32,-80.6
2020-01-02 15:42,-78.6
2020-01-02 15:52,-76.3
2020-01-02 16:02,-75.9
2020-01-02 16:12,-78.9
2020-01-02 16:22,-80.6
2020-01-02 16:32,-78.5
2020-01-02 16:42,-76.3
2020-01-02 16:52,-76.1
2020-01-02 17:02,-79.2
2020-01-02 17:12,-80.4
2020-01-02 17:22,-78.3
2020-01-02 17:32,-76.3
2020-01-02 17:42,-76.4
2020-01-02 17:52,-79.9
2020-01-02 18:02,-79.9
2020-01-02 18:12,-77.7
2020-01-02 18:22,-76.4
2020-01-02 18:32,-77.3
2020-01-02 18:42,-80.5
2020-01-02 18:52,-79.4
2020-01-02 19:02,-77
2020-01-02 19:12,-76.5
2020-01-02 19:22,-78.5
2020-01-02 19:32,-80.5
2020-01-02 19:42,-78.7
2020-01-02 19:52,-76.5
2020-01-02 20:02,-76.6
2020-01-02 20:12,-79.7
2020-01-02 20:22,-79.9
2020-01-02 20:32,-77.8
2020-01-02 20:42,-76.5
2020-01-02 20:52,-77.4
2020-01-02 21:02,-80.5
2020-01-02 21:12,-79.3
2020-01-02 21:22,-76.9
2020-01-02 21:32,-76.5
2020-01-02 21:42,-78.3
2020-01-02 21:52,-80.5
2020-01-02 22:02,-78.9
2020-01-02 22:12,-76.6
2020-01-02 22:22,-76.6
2020-01-02 22:32,-79.3
2020-01-02 22:42,-80.2
2020-01-02 22:52,-78.1
2020-01-02 23:02,-76.5
2020-01-02 23:12,-77.1
2020-01-02 23:22,-80.4
2020-01-02 23:32,-79.6
2020-01-02 23:42,-77.2
2020-01-02 23:52,-76.5
2020-01-03 0:02,-78.1
2020-01-03 0:12,-80.5
2020-01-03 0:22,-78.8
2020-01-03 0:32,-76.5
2020-01-03 0:42,-76.5
2020-01-03 0:52,-79.5
2020-01-03 1:02,-80.1
2020-01-03 1:12,-78
2020-01-03 1:22,-76.5
2020-01-03 1:32,-76.9
2020-01-03 1:42,-80.3
2020-01-03 1:52,-79.8
2020-01-03 2:02,-77.5
2020-01-03 2:12,-76.5
2020-01-03 2:22,-77.5
2020-01-03 2:32,-80.5
